"","year","species","n"
"1",2015,"Chinook",32223
"2",2015,"Chum",322107
"3",2015,"Coho",25040
"4",2015,"Pink",2056600
"5",2015,"Sockeye",547
"6",2016,"Chinook",45501
"7",2016,"Chum",305679
"8",2016,"Coho",76430
"9",2016,"Sockeye",1328
"10",2017,"Chinook",38430
"11",2017,"Chum",326818
"12",2017,"Coho",32478
"13",2017,"Pink",151763
"14",2017,"Sockeye",3795
"15",2018,"Chinook",31856
"16",2018,"Chum",263760
"17",2018,"Coho",94698
"18",2018,"Sockeye",897
"19",2019,"Chinook",8387
"20",2019,"Chum",24040
"21",2019,"Coho",51439
"22",2019,"Pink",619076
"23",2019,"Sockeye",611
